R_i_min,beta_legs,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_features,FP_suspicious_features,FN_suspicious_features,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions,TP_suspicious_features_and_predictions,FP_suspicious_features_and_predictions,FN_suspicious_features_and_predictions
70.000, 1.000, 0.000, 2000.000, 1.000, 1064.000, 271.000, 8545.000, 8985.000, 1163.000, 624.000, 9024.000, 1338.000, 585.000
70.000, 1.000, 0.000, 2000.000, 100.000, 940.000, 264.000, 8669.000, 8953.000, 1103.000, 656.000, 8992.000, 1282.000, 617.000
70.000, 1.000, 0.000, 2000.000, 500.000, 691.000, 183.000, 8918.000, 8816.000, 1002.000, 793.000, 8839.000, 1126.000, 770.000
70.000, 1.000, 0.000, 2000.000, 1000.000, 500.000, 116.000, 9109.000, 8651.000, 947.000, 958.000, 8672.000, 1026.000, 937.000
70.000, 1.000, 0.000, 2000.000, 1500.000, 417.000, 85.000, 9192.000, 8480.000, 891.000, 1129.000, 8497.000, 949.000, 1112.000
70.000, 1.000, 0.000, 2000.000, 2000.000, 365.000, 61.000, 9244.000, 8291.000, 820.000, 1318.000, 8310.000, 861.000, 1299.000
70.000, 1.000, 0.000, 2000.000, 3000.000, 287.000, 47.000, 9322.000, 7953.000, 730.000, 1656.000, 7967.000, 763.000, 1642.000
70.000, 1.000, 0.000, 2000.000, 4000.000, 257.000, 40.000, 9352.000, 7685.000, 679.000, 1924.000, 7698.000, 707.000, 1911.000
70.000, 1.000, 0.000, 2000.000, 5000.000, 225.000, 36.000, 9384.000, 7450.000, 651.000, 2159.000, 7461.000, 676.000, 2148.000
70.000, 1.000, 0.000, 2000.000, 6000.000, 196.000, 32.000, 9413.000, 7240.000, 615.000, 2369.000, 7250.000, 638.000, 2359.000
70.000, 1.000, 10.000, 2000.000, 1.000, 1734.000, 336.000, 7432.000, 8084.000, 308.000, 1082.000, 8214.000, 607.000, 952.000
70.000, 1.000, 10.000, 2000.000, 100.000, 1536.000, 326.000, 7630.000, 8035.000, 290.000, 1131.000, 8159.000, 583.000, 1007.000
70.000, 1.000, 10.000, 2000.000, 500.000, 1126.000, 233.000, 8040.000, 7711.000, 237.000, 1455.000, 7809.000, 449.000, 1357.000
70.000, 1.000, 10.000, 2000.000, 1000.000, 848.000, 155.000, 8318.000, 7362.000, 218.000, 1804.000, 7445.000, 360.000, 1721.000
70.000, 1.000, 10.000, 2000.000, 1500.000, 715.000, 115.000, 8451.000, 7085.000, 205.000, 2081.000, 7151.000, 309.000, 2015.000
70.000, 1.000, 10.000, 2000.000, 2000.000, 612.000, 86.000, 8554.000, 6779.000, 182.000, 2387.000, 6835.000, 259.000, 2331.000
70.000, 1.000, 10.000, 2000.000, 3000.000, 485.000, 66.000, 8681.000, 6214.000, 149.000, 2952.000, 6265.000, 210.000, 2901.000
70.000, 1.000, 10.000, 2000.000, 4000.000, 425.000, 55.000, 8741.000, 5811.000, 138.000, 3355.000, 5859.000, 189.000, 3307.000
70.000, 1.000, 10.000, 2000.000, 5000.000, 370.000, 49.000, 8796.000, 5444.000, 128.000, 3722.000, 5485.000, 174.000, 3681.000
70.000, 1.000, 10.000, 2000.000, 6000.000, 320.000, 45.000, 8846.000, 5196.000, 116.000, 3970.000, 5234.000, 158.000, 3932.000
70.000, 1.000, 20.000, 2000.000, 1.000, 2001.000, 361.000, 7107.000, 7744.000, 143.000, 1364.000, 7953.000, 480.000, 1155.000
70.000, 1.000, 20.000, 2000.000, 100.000, 1762.000, 348.000, 7346.000, 7699.000, 137.000, 1409.000, 7892.000, 465.000, 1216.000
70.000, 1.000, 20.000, 2000.000, 500.000, 1297.000, 252.000, 7811.000, 7329.000, 113.000, 1779.000, 7483.000, 350.000, 1625.000
70.000, 1.000, 20.000, 2000.000, 1000.000, 982.000, 171.000, 8126.000, 6958.000, 106.000, 2150.000, 7083.000, 267.000, 2025.000
70.000, 1.000, 20.000, 2000.000, 1500.000, 836.000, 127.000, 8272.000, 6647.000, 98.000, 2461.000, 6753.000, 218.000, 2355.000
70.000, 1.000, 20.000, 2000.000, 2000.000, 715.000, 97.000, 8393.000, 6308.000, 89.000, 2800.000, 6397.000, 179.000, 2711.000
70.000, 1.000, 20.000, 2000.000, 3000.000, 560.000, 73.000, 8548.000, 5721.000, 73.000, 3387.000, 5799.000, 142.000, 3309.000
70.000, 1.000, 20.000, 2000.000, 4000.000, 487.000, 62.000, 8621.000, 5316.000, 66.000, 3792.000, 5384.000, 125.000, 3724.000
70.000, 1.000, 20.000, 2000.000, 5000.000, 424.000, 56.000, 8684.000, 4942.000, 58.000, 4166.000, 4996.000, 112.000, 4112.000
70.000, 1.000, 20.000, 2000.000, 6000.000, 367.000, 51.000, 8741.000, 4675.000, 52.000, 4433.000, 4724.000, 101.000, 4384.000
70.000, 1.000, 30.000, 2000.000, 1.000, 2237.000, 367.000, 6846.000, 7494.000, 94.000, 1589.000, 7791.000, 444.000, 1292.000
70.000, 1.000, 30.000, 2000.000, 100.000, 1983.000, 354.000, 7100.000, 7427.000, 88.000, 1656.000, 7701.000, 428.000, 1382.000
70.000, 1.000, 30.000, 2000.000, 500.000, 1440.000, 256.000, 7643.000, 7053.000, 71.000, 2030.000, 7265.000, 317.000, 1818.000
70.000, 1.000, 30.000, 2000.000, 1000.000, 1097.000, 175.000, 7986.000, 6681.000, 65.000, 2402.000, 6853.000, 233.000, 2230.000
70.000, 1.000, 30.000, 2000.000, 1500.000, 932.000, 132.000, 8151.000, 6356.000, 59.000, 2727.000, 6500.000, 186.000, 2583.000
70.000, 1.000, 30.000, 2000.000, 2000.000, 800.000, 100.000, 8283.000, 6027.000, 53.000, 3056.000, 6148.000, 148.000, 2935.000
70.000, 1.000, 30.000, 2000.000, 3000.000, 628.000, 76.000, 8455.000, 5438.000, 43.000, 3645.000, 5537.000, 118.000, 3546.000
70.000, 1.000, 30.000, 2000.000, 4000.000, 538.000, 64.000, 8545.000, 5013.000, 37.000, 4070.000, 5103.000, 101.000, 3980.000
70.000, 1.000, 30.000, 2000.000, 5000.000, 470.000, 58.000, 8613.000, 4643.000, 35.000, 4440.000, 4722.000, 93.000, 4361.000
70.000, 1.000, 30.000, 2000.000, 6000.000, 401.000, 52.000, 8682.000, 4362.000, 33.000, 4721.000, 4431.000, 85.000, 4652.000
70.000, 1.000, 40.000, 2000.000, 1.000, 2460.000, 370.000, 6611.000, 7265.000, 56.000, 1806.000, 7646.000, 417.000, 1425.000
70.000, 1.000, 40.000, 2000.000, 100.000, 2185.000, 357.000, 6886.000, 7202.000, 52.000, 1869.000, 7551.000, 402.000, 1520.000
70.000, 1.000, 40.000, 2000.000, 500.000, 1580.000, 259.000, 7491.000, 6824.000, 41.000, 2247.000, 7099.000, 294.000, 1972.000
70.000, 1.000, 40.000, 2000.000, 1000.000, 1201.000, 178.000, 7870.000, 6448.000, 37.000, 2623.000, 6670.000, 211.000, 2401.000
70.000, 1.000, 40.000, 2000.000, 1500.000, 1016.000, 133.000, 8055.000, 6113.000, 32.000, 2958.000, 6298.000, 162.000, 2773.000
70.000, 1.000, 40.000, 2000.000, 2000.000, 867.000, 101.000, 8204.000, 5789.000, 27.000, 3282.000, 5944.000, 125.000, 3127.000
70.000, 1.000, 40.000, 2000.000, 3000.000, 678.000, 77.000, 8393.000, 5195.000, 22.000, 3876.000, 5323.000, 99.000, 3748.000
70.000, 1.000, 40.000, 2000.000, 4000.000, 580.000, 66.000, 8491.000, 4759.000, 20.000, 4312.000, 4872.000, 86.000, 4199.000
70.000, 1.000, 40.000, 2000.000, 5000.000, 501.000, 60.000, 8570.000, 4372.000, 20.000, 4699.000, 4468.000, 80.000, 4603.000
70.000, 1.000, 40.000, 2000.000, 6000.000, 426.000, 53.000, 8645.000, 4111.000, 18.000, 4960.000, 4196.000, 71.000, 4875.000
70.000, 1.000, 50.000, 2000.000, 1.000, 2694.000, 375.000, 6378.000, 7013.000, 34.000, 2059.000, 7487.000, 403.000, 1585.000
70.000, 1.000, 50.000, 2000.000, 100.000, 2401.000, 363.000, 6671.000, 6950.000, 32.000, 2122.000, 7382.000, 390.000, 1690.000
70.000, 1.000, 50.000, 2000.000, 500.000, 1713.000, 264.000, 7359.000, 6580.000, 22.000, 2492.000, 6921.000, 283.000, 2151.000
70.000, 1.000, 50.000, 2000.000, 1000.000, 1305.000, 183.000, 7767.000, 6211.000, 19.000, 2861.000, 6477.000, 200.000, 2595.000
70.000, 1.000, 50.000, 2000.000, 1500.000, 1096.000, 137.000, 7976.000, 5880.000, 15.000, 3192.000, 6099.000, 151.000, 2973.000
70.000, 1.000, 50.000, 2000.000, 2000.000, 948.000, 105.000, 8124.000, 5547.000, 14.000, 3525.000, 5741.000, 118.000, 3331.000
70.000, 1.000, 50.000, 2000.000, 3000.000, 735.000, 80.000, 8337.000, 4955.000, 12.000, 4117.000, 5116.000, 92.000, 3956.000
70.000, 1.000, 50.000, 2000.000, 4000.000, 630.000, 69.000, 8442.000, 4518.000, 10.000, 4554.000, 4662.000, 79.000, 4410.000
70.000, 1.000, 50.000, 2000.000, 5000.000, 542.000, 61.000, 8530.000, 4136.000, 10.000, 4936.000, 4263.000, 71.000, 4809.000
70.000, 1.000, 50.000, 2000.000, 6000.000, 459.000, 54.000, 8613.000, 3877.000, 9.000, 5195.000, 3988.000, 63.000, 5084.000
70.000, 1.000, 60.000, 2000.000, 1.000, 3006.000, 374.000, 6074.000, 6739.000, 23.000, 2341.000, 7337.000, 392.000, 1743.000
70.000, 1.000, 60.000, 2000.000, 100.000, 2706.000, 362.000, 6374.000, 6673.000, 21.000, 2407.000, 7221.000, 379.000, 1859.000
70.000, 1.000, 60.000, 2000.000, 500.000, 1927.000, 263.000, 7153.000, 6329.000, 13.000, 2751.000, 6758.000, 274.000, 2322.000
70.000, 1.000, 60.000, 2000.000, 1000.000, 1456.000, 181.000, 7624.000, 5985.000, 11.000, 3095.000, 6308.000, 191.000, 2772.000
70.000, 1.000, 60.000, 2000.000, 1500.000, 1209.000, 135.000, 7871.000, 5623.000, 8.000, 3457.000, 5899.000, 143.000, 3181.000
70.000, 1.000, 60.000, 2000.000, 2000.000, 1043.000, 103.000, 8037.000, 5310.000, 7.000, 3770.000, 5548.000, 110.000, 3532.000
70.000, 1.000, 60.000, 2000.000, 3000.000, 815.000, 79.000, 8265.000, 4716.000, 6.000, 4364.000, 4923.000, 85.000, 4157.000
70.000, 1.000, 60.000, 2000.000, 4000.000, 690.000, 69.000, 8390.000, 4281.000, 4.000, 4799.000, 4466.000, 73.000, 4614.000
70.000, 1.000, 60.000, 2000.000, 5000.000, 597.000, 61.000, 8483.000, 3897.000, 4.000, 5183.000, 4060.000, 65.000, 5020.000
70.000, 1.000, 60.000, 2000.000, 6000.000, 504.000, 54.000, 8576.000, 3645.000, 4.000, 5435.000, 3786.000, 58.000, 5294.000
70.000, 1.000, 70.000, 2000.000, 1.000, 3329.000, 379.000, 5769.000, 6394.000, 10.000, 2704.000, 7199.000, 388.000, 1899.000
70.000, 1.000, 70.000, 2000.000, 100.000, 3022.000, 365.000, 6076.000, 6337.000, 10.000, 2761.000, 7072.000, 374.000, 2026.000
70.000, 1.000, 70.000, 2000.000, 500.000, 2165.000, 266.000, 6933.000, 6022.000, 5.000, 3076.000, 6591.000, 271.000, 2507.000
70.000, 1.000, 70.000, 2000.000, 1000.000, 1646.000, 184.000, 7452.000, 5688.000, 5.000, 3410.000, 6124.000, 189.000, 2974.000
70.000, 1.000, 70.000, 2000.000, 1500.000, 1370.000, 135.000, 7728.000, 5354.000, 4.000, 3744.000, 5723.000, 139.000, 3375.000
70.000, 1.000, 70.000, 2000.000, 2000.000, 1177.000, 104.000, 7921.000, 5019.000, 3.000, 4079.000, 5343.000, 107.000, 3755.000
70.000, 1.000, 70.000, 2000.000, 3000.000, 908.000, 81.000, 8190.000, 4441.000, 3.000, 4657.000, 4718.000, 84.000, 4380.000
70.000, 1.000, 70.000, 2000.000, 4000.000, 769.000, 71.000, 8329.000, 4005.000, 2.000, 5093.000, 4250.000, 73.000, 4848.000
70.000, 1.000, 70.000, 2000.000, 5000.000, 665.000, 62.000, 8433.000, 3636.000, 2.000, 5462.000, 3858.000, 64.000, 5240.000
70.000, 1.000, 70.000, 2000.000, 6000.000, 562.000, 56.000, 8536.000, 3390.000, 2.000, 5708.000, 3578.000, 58.000, 5520.000
70.000, 1.000, 80.000, 2000.000, 1.000, 3811.000, 374.000, 5317.000, 5939.000, 8.000, 3189.000, 7078.000, 382.000, 2050.000
70.000, 1.000, 80.000, 2000.000, 100.000, 3525.000, 360.000, 5603.000, 5891.000, 8.000, 3237.000, 6941.000, 368.000, 2187.000
70.000, 1.000, 80.000, 2000.000, 500.000, 2544.000, 263.000, 6584.000, 5624.000, 4.000, 3504.000, 6431.000, 267.000, 2697.000
70.000, 1.000, 80.000, 2000.000, 1000.000, 1954.000, 181.000, 7174.000, 5310.000, 3.000, 3818.000, 5958.000, 184.000, 3170.000
70.000, 1.000, 80.000, 2000.000, 1500.000, 1625.000, 134.000, 7503.000, 4976.000, 2.000, 4152.000, 5532.000, 136.000, 3596.000
70.000, 1.000, 80.000, 2000.000, 2000.000, 1399.000, 103.000, 7729.000, 4660.000, 2.000, 4468.000, 5155.000, 105.000, 3973.000
70.000, 1.000, 80.000, 2000.000, 3000.000, 1087.000, 80.000, 8041.000, 4055.000, 2.000, 5073.000, 4487.000, 82.000, 4641.000
70.000, 1.000, 80.000, 2000.000, 4000.000, 919.000, 71.000, 8209.000, 3642.000, 1.000, 5486.000, 4008.000, 72.000, 5120.000
70.000, 1.000, 80.000, 2000.000, 5000.000, 799.000, 61.000, 8329.000, 3279.000, 1.000, 5849.000, 3613.000, 62.000, 5515.000
70.000, 1.000, 80.000, 2000.000, 6000.000, 678.000, 55.000, 8450.000, 3045.000, 1.000, 6083.000, 3330.000, 56.000, 5798.000
70.000, 1.000, 90.000, 2000.000, 1.000, 4517.000, 372.000, 4668.000, 5047.000, 0.000, 4138.000, 6930.000, 372.000, 2255.000
70.000, 1.000, 90.000, 2000.000, 100.000, 4249.000, 357.000, 4936.000, 5022.000, 0.000, 4163.000, 6786.000, 357.000, 2399.000
70.000, 1.000, 90.000, 2000.000, 500.000, 3250.000, 260.000, 5935.000, 4841.000, 0.000, 4344.000, 6207.000, 260.000, 2978.000
70.000, 1.000, 90.000, 2000.000, 1000.000, 2574.000, 177.000, 6611.000, 4588.000, 0.000, 4597.000, 5710.000, 177.000, 3475.000
70.000, 1.000, 90.000, 2000.000, 1500.000, 2174.000, 131.000, 7011.000, 4299.000, 0.000, 4886.000, 5282.000, 131.000, 3903.000
70.000, 1.000, 90.000, 2000.000, 2000.000, 1894.000, 101.000, 7291.000, 4006.000, 0.000, 5179.000, 4881.000, 101.000, 4304.000
70.000, 1.000, 90.000, 2000.000, 3000.000, 1522.000, 78.000, 7663.000, 3426.000, 0.000, 5759.000, 4209.000, 78.000, 4976.000
70.000, 1.000, 90.000, 2000.000, 4000.000, 1275.000, 69.000, 7910.000, 3032.000, 0.000, 6153.000, 3718.000, 69.000, 5467.000
70.000, 1.000, 90.000, 2000.000, 5000.000, 1111.000, 60.000, 8074.000, 2716.000, 0.000, 6469.000, 3337.000, 60.000, 5848.000
70.000, 1.000, 90.000, 2000.000, 6000.000, 939.000, 54.000, 8246.000, 2523.000, 0.000, 6662.000, 3050.000, 54.000, 6135.000
70.000, 1.000, 100.000, 2000.000, 1.000, 10190.000, 91.000, 1721.000, 143.000, 0.000, 11768.000, 10269.000, 91.000, 1642.000
70.000, 1.000, 100.000, 2000.000, 100.000, 10070.000, 87.000, 1841.000, 143.000, 0.000, 11768.000, 10150.000, 87.000, 1761.000
70.000, 1.000, 100.000, 2000.000, 500.000, 9539.000, 61.000, 2372.000, 143.000, 0.000, 11768.000, 9624.000, 61.000, 2287.000
70.000, 1.000, 100.000, 2000.000, 1000.000, 9056.000, 39.000, 2855.000, 143.000, 0.000, 11768.000, 9149.000, 39.000, 2762.000
70.000, 1.000, 100.000, 2000.000, 1500.000, 8652.000, 27.000, 3259.000, 142.000, 0.000, 11769.000, 8751.000, 27.000, 3160.000
70.000, 1.000, 100.000, 2000.000, 2000.000, 8318.000, 19.000, 3593.000, 140.000, 0.000, 11771.000, 8419.000, 19.000, 3492.000
70.000, 1.000, 100.000, 2000.000, 3000.000, 7789.000, 12.000, 4122.000, 132.000, 0.000, 11779.000, 7888.000, 12.000, 4023.000
70.000, 1.000, 100.000, 2000.000, 4000.000, 7291.000, 9.000, 4620.000, 126.000, 0.000, 11785.000, 7387.000, 9.000, 4524.000
70.000, 1.000, 100.000, 2000.000, 5000.000, 6894.000, 8.000, 5017.000, 126.000, 0.000, 11785.000, 6993.000, 8.000, 4918.000
70.000, 1.000, 100.000, 2000.000, 6000.000, 6504.000, 6.000, 5407.000, 125.000, 0.000, 11786.000, 6604.000, 6.000, 5307.000
